Only x86_64 / Linux distributed in NPM package right now.
Trying globally installed anchor.
    Finished release [optimized] target(s) in 0.34s
Ledger location: .anchor/test-ledger
Log: .anchor/test-ledger/validator.log
Initializing...
thread 'main' panicked at cli/src/lib.rs:4309:48:
called `Option::unwrap()` on a `None` value
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
Waiting for fees to stabilize 1...
Waiting for fees to stabilize 2...
Connecting...
Identity: 6QeckaCUbewqP2NqjRwrvk6B38F93HAEp7DCH8unPTY1
Genesis Hash: CMEKF79MrXq5qf4EHvUniUoCoJncAfnsoB48GQXQeb7s
Version: 1.16.24
Shred Version: 54965
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:21 | Processed Slot: 42 | Confirmed Slot: 42 | Finalized Slot: 10 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 42 | ◎499.999797500
00:00:21 | Processed Slot: 43 | Confirmed Slot: 43 | Finalized Slot: 11 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 43 | ◎499.999792500
00:00:21 | Processed Slot: 43 | Confirmed Slot: 43 | Finalized Slot: 11 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 43 | ◎499.999792500
00:00:21 | Processed Slot: 44 | Confirmed Slot: 44 | Finalized Slot: 12 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 44 | ◎499.999787500
00:00:22 | Processed Slot: 45 | Confirmed Slot: 44 | Finalized Slot: 13 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 45 | ◎499.999787500
00:00:22 | Processed Slot: 45 | Confirmed Slot: 45 | Finalized Slot: 13 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 45 | ◎499.999782500
00:00:22 | Processed Slot: 46 | Confirmed Slot: 46 | Finalized Slot: 14 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 46 | ◎499.999777500
00:00:22 | Processed Slot: 46 | Confirmed Slot: 46 | Finalized Slot: 14 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 46 | ◎499.999777500
00:00:23 | Processed Slot: 47 | Confirmed Slot: 47 | Finalized Slot: 15 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 47 | ◎499.999772500
00:00:23 | Processed Slot: 47 | Confirmed Slot: 47 | Finalized Slot: 15 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 47 | ◎499.999772500
00:00:23 | Processed Slot: 48 | Confirmed Slot: 48 | Finalized Slot: 16 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 48 | ◎499.999767500
00:00:23 | Processed Slot: 48 | Confirmed Slot: 48 | Finalized Slot: 16 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 48 | ◎499.999767500
00:00:24 | Processed Slot: 49 | Confirmed Slot: 49 | Finalized Slot: 17 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 49 | ◎499.999762500
00:00:24 | Processed Slot: 49 | Confirmed Slot: 49 | Finalized Slot: 17 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 49 | ◎499.999762500
